Pair,Month,SG_Lat,SG_Lon,OW_Lat,OW_Lon,DIC_SG,TA_SG,SST_SG,Salinity_SG,DIC_OW,TA_OW,SST_OW,Salinity_OW,pH_SG,pH_OW,Delta_pH,Omega_ar_SG,Omega_ar_OW,Delta_Omega_ar,Copernicus_pH_SG,Copernicus_pH_OW,pH_validation_SG,pH_validation_OW,SOCAT_SST_nobs_SG,SOCAT_Salinity_nobs_SG,SOCAT_SST_nobs_OW,SOCAT_Salinity_nobs_OW
1,2019-05,24.875,-77.375,24.875,-77.625,2083.405517578125,2442.805908203125,28.2052,37.4078,2083.23193359375,2443.042724609375,27.1179,36.7443,8.040155201901584,8.06502177319861,-0.02486657129702685,4.045643774298206,4.057847181159836,-0.012203406861630128,8.040308952331543,8.05179500579834,-0.0001537504299591319,0.013226767400270845,51,51,106,106
2,2019-05,24.625,-76.875,24.625,-76.625,2089.21240234375,2446.40869140625,28.1369,37.0711,2083.19384765625,2437.99951171875,27.1155,36.9711,8.041348507429944,8.055643836996849,-0.014295329566904158,4.041630824880293,3.9911639186417864,0.05046690623850614,8.040935516357422,8.053262710571289,0.0004129910725225727,0.0023811264255595432,51,51,37,37
3,2019-03,23.125,-78.375,23.125,-78.875,2059.52197265625,2389.83349609375,26.2042,36.6335,2046.622314453125,2384.129638671875,26.4871,36.5319,8.043263613771952,8.052388295166313,-0.00912468139436129,3.7051347814742166,3.7863193960290427,-0.08118461455482606,8.049727439880371,8.063152313232422,-0.006463826108419113,-0.010764018066108605,31,31,19,19
3,2019-04,23.125,-78.375,23.125,-78.875,2087.487548828125,2442.413330078125,27.1999,36.8089,2079.33251953125,2437.1962890625,27.3146,36.3745,8.05581160072774,8.064553344634414,-0.008741743906673705,4.005768685118309,4.058188235670462,-0.05241955055215275,8.051412582397461,8.061029434204102,0.004399018330278892,0.0035239104303119717,36,36,11,11
3,2019-06,23.125,-78.375,23.125,-78.875,2083.485595703125,2461.802978515625,30.9228,36.7714,2086.889892578125,2460.877197265625,28.6481,36.6349,8.031600201654644,8.061301368953774,-0.029701167299130304,4.364534088321646,4.2626227399327,0.10191134838894556,8.029316902160645,8.035791397094727,0.0022832994939996354,0.02550997185904791,37,37,36,36
3,2019-07,23.125,-78.375,23.125,-78.875,2091.1923828125,2460.720703125,30.3174,37.457,2076.455322265625,2448.010986328125,29.3906,36.3271,8.019973500328835,8.052386307470563,-0.03241280714172845,4.215185275060731,4.265959722274291,-0.05077444721356006,8.013605117797852,8.029014587402344,0.006368382530983041,0.023371720068219304,48,48,19,19
4,2019-05,22.875,-78.375,22.875,-78.625,2087.861328125,2456.501220703125,27.617,36.401,2093.3955078125,2461.7099609375,27.6172,36.3087,8.072572470574194,8.072391697233773,0.0001807733404213252,4.1893064415542325,4.194335414399164,-0.00502897284493109,8.044310569763184,8.048858642578125,0.02826190081101032,0.02353305465564759,1,1,29,29
4,2019-06,22.875,-78.375,22.875,-78.625,2084.8974609375,2465.31591796875,30.7933,36.612,2091.284912109375,2466.138916015625,28.5445,36.5874,8.037913648655618,8.063855904603935,-0.02594225594831734,4.394701823703071,4.2750690858471065,0.11963273785596407,8.035576820373535,8.036579132080078,0.0023368282820825925,0.027276772523856962,3,3,17,17
5,2019-03,22.875,-78.125,22.625,-78.125,2054.36376953125,2390.260498046875,26.313,36.4533,2047.1123046875,2385.241455078125,26.1681,36.5245,8.052493909125857,8.058076582614508,-0.005582673488650158,3.77346014759226,3.7862433607486565,-0.012783213156396744,8.057921409606934,8.060503959655762,-0.005427500481076208,-0.002427377041254175,50,50,14,14
5,2019-04,22.875,-78.125,22.625,-78.125,2078.149169921875,2436.54443359375,27.0449,36.0938,2077.614013671875,2430.15576171875,27.0697,36.5361,8.072945342887436,8.059395962020213,0.013549380867223348,4.070977308827707,3.984070831028852,0.08690647779885463,8.06064510345459,8.060489654541016,0.012300239432846638,-0.0010936925208024917,51,51,23,23
5,2019-06,22.875,-78.125,22.625,-78.125,2084.166015625,2465.333251953125,30.7199,36.7458,2095.183837890625,2466.79638671875,28.6419,36.682,8.038466952480595,8.056439697903615,-0.01797274542301963,4.392615208972482,4.239025046190672,0.1535901627818097,8.035343170166016,8.038585662841797,0.0031237823145797705,0.017854035061818152,58,58,44,44
5,2019-07,22.875,-78.125,22.625,-78.125,2095.63916015625,2468.07373046875,30.3541,37.4497,2093.28662109375,2466.947509765625,29.4715,36.3251,8.02256710863882,8.051240961379962,-0.02867385274114298,4.2517928050447695,4.3033115564373015,-0.051518751392531925,8.017293930053711,8.031230926513672,0.00527317858510834,0.020010034866290383,36,36,59,59
6,2019-06,22.375,-77.375,22.125,-77.125,2079.3740234375,2447.721435546875,29.2835,36.459,2071.33837890625,2429.553955078125,28.9142,36.5687,8.04775116565116,8.039873231027089,0.007877934624071159,4.221845415691491,4.0880425186070575,0.1338028970844336,8.030844688415527,8.036466598510742,0.016906477235632877,0.0034066325163468747,2,2,29,29
7,2019-03,22.875,-77.875,22.625,-78.125,2058.272216796875,2391.646728515625,26.3323,36.2953,2047.1123046875,2385.241455078125,26.1681,36.5245,8.049962028111539,8.058076582614508,-0.00811455450296883,3.7565320414728856,3.7862433607486565,-0.029711319275770975,8.053415298461914,8.060503959655762,-0.003453270350375348,-0.002427377041254175,3,3,14,14
7,2019-07,22.875,-77.875,22.625,-78.125,2094.96728515625,2467.0244140625,30.0438,36.6995,2093.28662109375,2466.947509765625,29.4715,36.3251,8.03578497597023,8.051240961379962,-0.01545598540973181,4.281411990067391,4.3033115564373015,-0.021899566369910417,8.016568183898926,8.031230926513672,0.019216792071304667,0.020010034866290383,8,8,59,59
8,2019-06,22.375,-77.375,22.125,-77.375,2079.3740234375,2447.721435546875,29.2835,36.459,2074.275146484375,2434.498291015625,29.0524,36.6127,8.04775116565116,8.039474667072778,0.00827649857838253,4.221845415691491,4.113525302531556,0.10832011315993473,8.030844688415527,8.035126686096191,0.016906477235632877,0.004347980976586285,2,2,100,100
