location,requested_lat,requested_lon,grid_lat,grid_lon,time,DIC_tco2,TA_talk
Seagrass,23.125,-78.375,23.125,-78.375,2019-01-01,2040.7581787109375,2346.263427734375
Seagrass,23.125,-78.375,23.125,-78.375,2019-02-01,2059.5869140625,2377.92626953125
Seagrass,23.125,-78.375,23.125,-78.375,2019-03-01,2059.52197265625,2389.83349609375
Seagrass,23.125,-78.375,23.125,-78.375,2019-04-01,2087.487548828125,2442.413330078125
Seagrass,23.125,-78.375,23.125,-78.375,2019-05-01,2090.42529296875,2448.98583984375
Seagrass,23.125,-78.375,23.125,-78.375,2019-06-01,2083.485595703125,2461.802978515625
Seagrass,23.125,-78.375,23.125,-78.375,2019-07-01,2091.1923828125,2460.720703125
Seagrass,23.125,-78.375,23.125,-78.375,2019-08-01,2084.396728515625,2469.603759765625
Seagrass,23.125,-78.375,23.125,-78.375,2019-09-01,2076.111572265625,2435.95263671875
Seagrass,23.125,-78.375,23.125,-78.375,2019-10-01,2071.719970703125,2412.81982421875
Seagrass,23.125,-78.375,23.125,-78.375,2019-11-01,2084.81298828125,2415.878662109375
Seagrass,23.125,-78.375,23.125,-78.375,2019-12-01,2097.314697265625,2418.15966796875
Seagrass,23.125,-78.375,23.125,-78.375,2020-01-01,2094.443603515625,2417.941650390625
Open_Water,23.125,-78.875,23.125,-78.875,2019-01-01,2031.6776123046875,2358.92138671875
Open_Water,23.125,-78.875,23.125,-78.875,2019-02-01,2042.7562255859375,2374.81201171875
Open_Water,23.125,-78.875,23.125,-78.875,2019-03-01,2046.622314453125,2384.129638671875
Open_Water,23.125,-78.875,23.125,-78.875,2019-04-01,2079.33251953125,2437.1962890625
Open_Water,23.125,-78.875,23.125,-78.875,2019-05-01,2088.5595703125,2456.111083984375
Open_Water,23.125,-78.875,23.125,-78.875,2019-06-01,2086.889892578125,2460.877197265625
Open_Water,23.125,-78.875,23.125,-78.875,2019-07-01,2076.455322265625,2448.010986328125
Open_Water,23.125,-78.875,23.125,-78.875,2019-08-01,2070.97998046875,2449.83349609375
Open_Water,23.125,-78.875,23.125,-78.875,2019-09-01,2056.75732421875,2421.80810546875
Open_Water,23.125,-78.875,23.125,-78.875,2019-10-01,2051.226318359375,2409.677978515625
Open_Water,23.125,-78.875,23.125,-78.875,2019-11-01,2040.9691162109375,2384.916748046875
Open_Water,23.125,-78.875,23.125,-78.875,2019-12-01,2051.512939453125,2393.627197265625
Open_Water,23.125,-78.875,23.125,-78.875,2020-01-01,2057.21533203125,2394.864501953125
