time,ph,tco2,talk,spco2,omega_ar,omega_ca,latitude,longitude
2019-01-01,8.069656,2043.9576,2376.205,382.91992,3.698389,5.5912795,24.625,-75.875
2019-02-01,8.073492,2045.7937,2379.838,379.30515,3.7111933,5.6131296,24.625,-75.875
2019-03-01,8.069329,2049.2036,2384.5176,383.87454,3.7280838,5.6331725,24.625,-75.875
2019-04-01,8.063529,2058.4346,2399.3477,390.83115,3.7938912,5.7203226,24.625,-75.875
2019-05-01,8.053805,2074.945,2423.1682,402.89603,3.875781,5.827058,24.625,-75.875
2019-06-01,8.039347,2069.1267,2425.4812,417.01602,4.000849,5.980189,24.625,-75.875
2019-07-01,8.029179,2065.927,2425.9487,427.35803,4.0658646,6.0555387,24.625,-75.875
2019-08-01,8.032443,2052.477,2413.9512,421.65802,4.0918145,6.0903683,24.625,-75.875
2019-09-01,8.036682,2042.4816,2390.507,416.33206,3.937532,5.8839445,24.625,-75.875
2019-10-01,8.039804,2043.8065,2393.4817,413.11124,3.9495134,5.904,24.625,-75.875
2019-11-01,8.052424,2035.9333,2376.0845,399.13147,3.8240364,5.744774,24.625,-75.875
2019-12-01,8.065145,2059.4038,2402.1697,389.26868,3.8113484,5.7462544,24.625,-75.875
2020-01-01,8.072046,2064.9858,2402.8704,383.18622,3.740427,5.656655,24.625,-75.875
