time,ph,tco2,talk,spco2,omega_ar,omega_ca,latitude,longitude
2019-01-01,8.057646,2035.6553,2346.4927,394.97598,3.4884746,5.2881117,23.125,-78.625
2019-02-01,8.060412,2051.9546,2375.8845,393.70407,3.6102943,5.4623175,23.125,-78.625
2019-03-01,8.056426,2053.5083,2387.4973,397.5592,3.724295,5.6161375,23.125,-78.625
2019-04-01,8.060765,2080.5173,2441.6455,395.20944,3.98514,5.9868536,23.125,-78.625
2019-05-01,8.04488,2080.7004,2450.5842,411.11594,4.104905,6.1324944,23.125,-78.625
2019-06-01,8.035047,2078.038,2458.5562,420.43048,4.2462234,6.3109193,23.125,-78.625
2019-07-01,8.024268,2078.3706,2453.0505,432.65662,4.1998324,6.235117,23.125,-78.625
2019-08-01,8.026255,2078.6375,2461.616,429.79453,4.2883153,6.356724,23.125,-78.625
2019-09-01,8.024048,2067.0044,2431.4275,432.1637,4.103098,6.100441,23.125,-78.625
2019-10-01,8.024601,2060.8853,2411.8113,431.6952,3.9582095,5.9034934,23.125,-78.625
2019-11-01,8.038171,2069.9116,2407.0515,418.963,3.771459,5.6664004,23.125,-78.625
2019-12-01,8.047525,2080.4775,2410.2737,410.52774,3.6603243,5.5256715,23.125,-78.625
2020-01-01,8.054622,2080.1294,2407.6191,403.05362,3.6259873,5.4849176,23.125,-78.625
