Pair,Month,SG_Lat,SG_Lon,OW_Lat,OW_Lon,DIC_SG,DIC_OW,Delta_DIC,TA_SG,TA_OW,Delta_TA,SST_SG,SST_OW,Delta_SST,Salinity_SG,Salinity_OW,Delta_Salinity,pH_SG,pH_OW,Delta_pH,Omega_ar_SG,Omega_ar_OW,Delta_Omega_ar
1,2019-05,24.875,-77.375,24.875,-77.625,2083.405517578125,2083.23193359375,0.173583984375,2442.805908203125,2443.042724609375,-0.23681640625,28.2052,27.1179,1.0873000000000026,37.4078,36.7443,0.6634999999999991,8.040155201901584,8.06502177319861,-0.0248665712970268,4.045643774298206,4.057847181159836,-0.0122034068616301
2,2019-05,24.625,-76.875,24.625,-76.625,2089.21240234375,2083.19384765625,6.0185546875,2446.40869140625,2437.99951171875,8.4091796875,28.1369,27.1155,1.0213999999999999,37.0711,36.9711,0.10000000000000142,8.041348507429944,8.055643836996849,-0.0142953295669041,4.041630824880293,3.9911639186417855,0.0504669062385061
3,2019-03,23.125,-78.375,23.125,-78.875,2059.52197265625,2046.622314453125,12.899658203125,2389.83349609375,2384.129638671875,5.703857421875,26.2042,26.4871,-0.2829000000000015,36.6335,36.5319,0.10159999999999769,8.043263613771952,8.052388295166313,-0.0091246813943612,3.7051347814742166,3.786319396029042,-0.081184614554826
3,2019-04,23.125,-78.375,23.125,-78.875,2087.487548828125,2079.33251953125,8.155029296875,2442.413330078125,2437.1962890625,5.217041015625,27.1999,27.3146,-0.11469999999999914,36.8089,36.3745,0.43440000000000367,8.05581160072774,8.064553344634414,-0.0087417439066737,4.005768685118309,4.058188235670462,-0.0524195505521527
3,2019-06,23.125,-78.375,23.125,-78.875,2083.485595703125,2086.889892578125,-3.404296875,2461.802978515625,2460.877197265625,0.92578125,30.9228,28.6481,2.2746999999999993,36.7714,36.6349,0.13649999999999807,8.031600201654644,8.061301368953774,-0.0297011672991303,4.364534088321646,4.2626227399327,0.1019113483889455
3,2019-07,23.125,-78.375,23.125,-78.875,2091.1923828125,2076.455322265625,14.737060546875,2460.720703125,2448.010986328125,12.709716796875,30.3174,29.3906,0.9268000000000001,37.457,36.3271,1.1298999999999992,8.019973500328835,8.052386307470563,-0.0324128071417284,4.215185275060731,4.265959722274291,-0.05077444721356
4,2019-05,22.875,-78.375,22.875,-78.625,2087.861328125,2093.3955078125,-5.5341796875,2456.501220703125,2461.7099609375,-5.208740234375,27.617,27.6172,-0.00019999999999953388,36.401,36.3087,0.0923000000000016,8.072572470574194,8.072391697233773,0.0001807733404213,4.1893064415542325,4.194335414399164,-0.005028972844931
4,2019-06,22.875,-78.375,22.875,-78.625,2084.8974609375,2091.284912109375,-6.387451171875,2465.31591796875,2466.138916015625,-0.822998046875,30.7933,28.5445,2.2487999999999992,36.612,36.5874,0.02459999999999951,8.037913648655618,8.063855904603935,-0.0259422559483173,4.394701823703071,4.2750690858471065,0.119632737855964
5,2019-03,22.875,-78.125,22.625,-78.125,2054.36376953125,2047.1123046875,7.25146484375,2390.260498046875,2385.241455078125,5.01904296875,26.313,26.1681,0.1448999999999998,36.4533,36.5245,-0.07120000000000459,8.052493909125857,8.058076582614508,-0.0055826734886501,3.77346014759226,3.786243360748657,-0.0127832131563967
5,2019-04,22.875,-78.125,22.625,-78.125,2078.149169921875,2077.614013671875,0.53515625,2436.54443359375,2430.15576171875,6.388671875,27.0449,27.0697,-0.024800000000002598,36.0938,36.5361,-0.4422999999999959,8.072945342887436,8.059395962020213,0.0135493808672233,4.070977308827707,3.984070831028852,0.0869064777988546
5,2019-06,22.875,-78.125,22.625,-78.125,2084.166015625,2095.183837890625,-11.017822265625,2465.333251953125,2466.79638671875,-1.463134765625,30.7199,28.6419,2.0779999999999994,36.7458,36.682,0.06380000000000052,8.038466952480595,8.056439697903615,-0.0179727454230196,4.392615208972482,4.239025046190672,0.1535901627818097
5,2019-07,22.875,-78.125,22.625,-78.125,2095.63916015625,2093.28662109375,2.3525390625,2468.07373046875,2466.947509765625,1.126220703125,30.3541,29.4715,0.8826,37.4497,36.3251,1.124600000000001,8.02256710863882,8.051240961379962,-0.0286738527411429,4.2517928050447695,4.3033115564373015,-0.0515187513925319
6,2019-06,22.375,-77.375,22.125,-77.125,2079.3740234375,2071.33837890625,8.03564453125,2447.721435546875,2429.553955078125,18.16748046875,29.2835,28.9142,0.3692999999999991,36.459,36.5687,-0.10969999999999658,8.04775116565116,8.039873231027089,0.0078779346240711,4.221845415691491,4.0880425186070575,0.1338028970844336
7,2019-03,22.875,-77.875,22.625,-78.125,2058.272216796875,2047.1123046875,11.159912109375,2391.646728515625,2385.241455078125,6.4052734375,26.3323,26.1681,0.164200000000001,36.2953,36.5245,-0.22920000000000584,8.049962028111539,8.058076582614508,-0.0081145545029688,3.7565320414728856,3.786243360748657,-0.0297113192757709
7,2019-07,22.875,-77.875,22.625,-78.125,2094.96728515625,2093.28662109375,1.6806640625,2467.0244140625,2466.947509765625,0.076904296875,30.0438,29.4715,0.572300000000002,36.6995,36.3251,0.3744000000000014,8.03578497597023,8.051240961379962,-0.0154559854097318,4.281411990067391,4.3033115564373015,-0.0218995663699104
8,2019-06,22.375,-77.375,22.125,-77.375,2079.3740234375,2074.275146484375,5.098876953125,2447.721435546875,2434.498291015625,13.22314453125,29.2835,29.0524,0.23110000000000142,36.459,36.6127,-0.1536999999999935,8.04775116565116,8.039474667072778,0.0082764985783825,4.221845415691491,4.113525302531556,0.1083201131599347
