G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
33RO20170718,4058.0,88.0,2017.0,8.0,17.0,23.262,-80.62,3.0,2020.7,2371.18,30.13,36.401,8.0151787059258,0.0,0.0,0.0
33RO20170718,4058.0,88.0,2017.0,8.0,17.0,23.262,-80.62,10.0,2025.8,2371.61,29.72,36.369,8.03310038431704,0.0,0.0,0.0
33RO20170718,4058.0,89.0,2017.0,8.0,18.0,23.5122,-80.62,3.0,2020.1,2371.85,30.15,36.294,8.02580053364055,0.0,0.0,0.0
33RO20170718,4058.0,89.0,2017.0,8.0,18.0,23.5122,-80.62,10.0,2018.2,2367.36,30.093,36.283,8.02556272567391,0.0,0.0,0.0
33RO20170718,4058.0,90.0,2017.0,8.0,18.0,23.7878,-80.614,2.0,2022.5,2369.92,29.967,36.303,8.02779680910366,0.0,0.0,0.0
33RO20170718,4058.0,90.0,2017.0,8.0,18.0,23.7878,-80.614,10.0,2021.7,2374.53,29.978,36.303,8.02522171086778,0.0,0.0,0.0
33RO20170718,4058.0,91.0,2017.0,8.0,18.0,24.0482,-80.619,3.0,2021.3,2370.75,29.883,36.287,8.0279935736845,0.0,0.0,0.0
33RO20170718,4058.0,92.0,2017.0,8.0,18.0,24.3159,-80.618,3.0,2023.1,2371.97,30.288,36.339,8.02299804819067,0.0,0.0,0.0
33RO20170718,4058.0,93.0,2017.0,8.0,18.0,24.5795,-80.616,4.0,2034.4,2387.19,30.357,36.054,8.02553443171867,0.0,0.0,0.0
33RO20170718,4058.0,93.0,2017.0,8.0,18.0,24.5795,-80.616,10.0,2034.4,2387.29,30.211,36.048,8.02711752985959,0.0,0.0,0.0
33RO20170718,4058.0,94.0,2017.0,8.0,18.0,24.7412,-80.619,4.0,2028.4,2376.54,30.505,35.876,8.01318379788986,0.0,0.0,0.0
