LAT,LON,total_fCO2_obs,total_SST_obs,total_salinity_obs,months_with_data,total_cruises
-12.375,130.375,17526,17526,17526,2,3
38.125,141.375,13722,13722,13722,13,16
-66.375,110.625,11460,11460,11460,2,2
51.375,2.875,11226,11226,11226,10,13
54.625,12.375,9559,9559,9559,21,31
55.125,14.125,8843,8843,8843,21,33
55.375,14.625,8828,8828,8828,21,33
-23.375,151.875,8282,8282,8282,24,28
-42.625,173.625,7846,7846,7846,4,4
56.125,16.875,7750,7750,7750,21,33
-35.875,136.375,7735,7735,7735,24,27
-42.625,148.125,7660,7660,7660,23,25
57.125,18.875,7644,7644,7644,19,21
55.875,16.125,7584,7584,7584,21,34
55.625,15.375,7396,7396,7396,21,33
51.375,2.625,7321,7321,7321,10,11
54.875,13.125,7288,7288,7288,21,30
54.875,13.375,7189,7189,7189,21,32
23.875,-76.125,7129,7129,7129,1,1
55.625,15.125,6983,6983,6983,21,32
55.875,15.875,6526,6526,6526,21,33
54.875,13.625,6440,6440,6440,21,32
54.625,12.625,6385,6385,6385,21,31
57.625,19.625,6374,6374,6374,19,21
57.875,19.875,6336,6336,6336,19,21
43.125,-70.625,6283,6283,6283,23,28
56.125,16.625,6213,6213,6213,21,33
56.875,18.625,6198,6198,6198,19,21
57.375,19.125,6177,6177,6177,19,21
59.625,23.875,6087,6087,6087,21,23
59.625,23.625,6076,6076,6076,21,23
58.875,21.375,6036,6036,6036,20,23
40.625,141.625,5930,5930,5930,3,3
55.125,14.375,5908,5908,5908,21,33
59.125,21.875,5832,5832,5832,21,24
54.875,12.875,5785,5785,5785,21,31
56.625,18.125,5768,5768,5768,19,21
54.375,11.625,5698,5698,5698,21,31
58.375,20.625,5620,5620,5620,19,21
34.375,-120.875,5535,5535,5535,24,30
56.875,18.375,5492,5492,5492,19,21
58.125,20.375,5351,5351,5351,19,21
59.125,21.625,5333,5333,5333,21,24
58.625,20.875,5312,5312,5312,20,22
24.875,-80.625,5190,5190,5190,23,52
51.625,2.875,5145,5145,5145,9,11
56.625,17.875,5108,5108,5108,19,21
18.375,-64.625,4868,4868,4868,8,11
59.375,22.375,4790,4790,4790,21,23
58.875,21.125,4655,4655,4655,20,22
57.375,19.375,4631,4631,4631,19,21
58.625,21.125,4618,4618,4618,19,21
59.625,24.125,4570,4570,4570,21,23
55.875,16.375,4527,4527,4527,21,34
51.375,3.125,4511,4511,4511,10,11
-13.875,121.875,4489,4489,4489,2,2
55.375,14.375,4466,4466,4466,21,33
58.125,20.125,4441,4441,4441,19,21
33.375,-122.625,4431,4431,4431,18,20
55.625,15.625,4244,4244,4244,21,32
55.375,14.875,4079,4079,4079,21,32
59.375,22.625,4028,4028,4028,21,23
-45.125,173.125,3950,3950,3950,2,2
55.125,13.875,3875,3875,3875,20,26
56.375,17.375,3863,3863,3863,19,21
56.375,17.125,3819,3819,3819,21,28
68.125,-12.625,3751,3751,3724,17,19
-11.125,133.375,3746,3746,3746,1,1
55.625,14.875,3627,3627,3627,20,27
40.875,141.625,3593,3593,3593,6,6
59.375,22.125,3586,3586,3586,19,21
-68.625,77.875,3534,3534,3534,3,3
38.875,142.125,3504,3504,3504,8,10
58.875,21.625,3446,3446,3446,20,22
55.875,15.625,3445,3445,3445,19,26
-45.125,172.875,3418,3418,3418,2,2
36.875,-76.125,3400,3400,3400,17,18
57.875,20.125,3353,3353,3353,19,21
59.125,22.125,3349,3349,3349,20,22
40.875,141.875,3332,3332,3332,6,7
38.125,141.125,3321,3321,3321,9,9
17.875,-67.125,3313,3313,3306,16,17
57.625,19.375,3287,3287,3287,19,21
59.625,23.375,3283,3283,3283,21,23
54.875,13.875,3282,3282,3282,21,29
25.875,-77.875,3250,3250,3250,16,69
59.375,22.875,3179,3179,3179,20,22
