DATE,LAT,LON,COAST_COUNT_NCRUISE,COAST_FCO2_COUNT_NOBS,COAST_FCO2_AVE_UNWTD,COAST_FCO2_AVE_WEIGHTED,COAST_FCO2_MAX_UNWTD,COAST_FCO2_MIN_UNWTD,COAST_FCO2_STD_UNWTD,COAST_FCO2_STD_WEIGHTED,COAST_SST_COUNT_NOBS,COAST_SST_AVE_UNWTD,COAST_SST_AVE_WEIGHTED,COAST_SST_MAX_UNWTD,COAST_SST_MIN_UNWTD,COAST_SST_STD_UNWTD,COAST_SST_STD_WEIGHTED,COAST_SALINITY_COUNT_NOBS,COAST_SALINITY_AVE_UNWTD,COAST_SALINITY_AVE_WEIGHTED,COAST_SALINITY_MAX_UNWTD,COAST_SALINITY_MIN_UNWTD,COAST_SALINITY_STD_UNWTD,COAST_SALINITY_STD_WEIGHTED,COAST_LAT_OFFSET_UNWTD,COAST_LON_OFFSET_UNWTD
2019-01-16,-74.375,-106.875,1,25,165.796,165.796,368.604,90.5133,102.376,0.0,25,0.3468,0.3468,1.87,-1.52,1.02701,0.0,25,32.7272,32.7272,33.51,31.78,0.527379,0.0,0.123959,-0.32664
2019-01-16,-74.375,-106.625,1,3,269.256,269.256,325.629,214.282,68.2019,0.0,3,-0.58,-0.58,-0.48,-0.72,0.152971,0.0,3,33.4833,33.4833,33.51,33.45,0.0374154,0.0,0.0146688,-0.222669
2019-01-16,-74.375,-106.125,1,53,227.365,227.365,429.267,91.0954,123.146,0.0,53,-0.0128302,-0.0128302,1.71,-0.82,0.68919,0.0,53,33.0579,33.0579,33.87,32.43,0.571889,0.0,0.119225,0.470943
2019-01-16,-74.375,-105.875,1,23,181.391,181.391,368.876,104.517,102.209,0.0,23,0.142609,0.142609,1.54,-0.76,0.502606,0.0,23,32.8683,32.8683,33.61,32.54,0.433751,0.0,0.127391,-0.363435
2019-01-16,-74.125,-107.375,1,18,126.743,126.743,178.372,97.7928,20.761,0.0,18,0.816667,0.816667,1.14,0.31,0.279738,0.0,18,32.6128,32.6128,32.99,32.22,0.263617,0.0,0.369225,0.210056
2019-01-16,-74.125,-107.125,1,15,101.208,101.208,114.358,93.8525,6.52331,0.0,15,1.00267,1.00267,1.59,0.42,0.447262,0.0,15,32.406,32.406,32.66,32.25,0.119168,0.0,0.358534,0.371467
2019-01-16,-74.125,-106.875,1,17,96.5801,96.5801,100.22,93.0022,2.24148,0.0,17,1.71,1.71,1.89,1.45,0.128382,0.0,17,32.4853,32.4853,32.62,32.26,0.102504,0.0,0.334413,-0.359647
2019-01-16,-74.125,-106.625,1,32,111.814,111.814,146.044,92.9714,17.4884,0.0,32,1.42156,1.42156,1.9,0.64,0.409788,0.0,32,32.7644,32.7644,33.2,32.46,0.252863,0.0,0.294596,-0.165094
2019-01-16,-74.125,-106.125,1,5,117.057,117.057,119.193,113.996,2.23562,0.0,5,0.472,0.472,0.63,0.21,0.186815,0.0,5,32.574,32.574,32.65,32.5,0.0764854,0.0,0.493199,0.406601
2019-01-16,-74.125,-105.875,1,2,109.42,109.42,110.74,108.1,2.63976,0.0,2,0.675,0.675,0.76,0.59,0.17,0.0,2,32.515,32.515,32.54,32.49,0.0499992,0.0,0.252499,-0.280998
2019-01-16,-74.125,-105.625,1,31,123.334,123.334,139.667,104.3,9.56269,0.0,31,0.169355,0.169355,0.44,-0.08,0.128312,0.0,31,32.7426,32.7426,32.95,32.44,0.148009,0.0,0.294836,-0.0276777
2019-01-16,-74.125,-105.375,1,46,130.517,130.517,174.672,104.827,22.3813,0.0,46,0.0595652,0.0595652,0.51,-0.4,0.295731,0.0,46,32.92,32.92,33.29,32.67,0.17627,0.0,0.371088,0.194153
