Location,DATE,LAT,LON,COAST_FCO2_COUNT_NOBS,COAST_FCO2_AVE_UNWTD,COAST_FCO2_AVE_WEIGHTED,COAST_SST_COUNT_NOBS,COAST_SST_AVE_UNWTD,COAST_SST_AVE_WEIGHTED,COAST_SALINITY_COUNT_NOBS,COAST_SALINITY_AVE_UNWTD,COAST_SALINITY_AVE_WEIGHTED
Seagrass,2019-03-16,23.125,-78.375,31,384.607,384.607,31,26.2042,26.2042,31,36.6335,36.6335
Seagrass,2019-04-16,23.125,-78.375,36,370.719,370.719,36,27.1999,27.1999,36,36.8089,36.8089
Seagrass,2019-06-16,23.125,-78.375,37,379.084,379.084,37,30.9228,30.9228,37,36.7714,36.7714
Seagrass,2019-07-16,23.125,-78.375,48,378.065,378.065,48,30.3174,30.3174,48,37.457,37.457
Open_Water,2019-01-16,23.125,-78.875,23,393.819,393.819,23,26.3733,26.3733,23,36.3367,36.3367
Open_Water,2019-02-15,23.125,-78.875,44,388.283,388.283,44,26.0252,26.0252,44,36.2693,36.2693
Open_Water,2019-03-16,23.125,-78.875,19,400.272,400.272,19,26.4871,26.4871,19,36.5319,36.5319
Open_Water,2019-04-16,23.125,-78.875,11,403.407,403.407,11,27.3146,27.3146,11,36.3745,36.3745
Open_Water,2019-05-16,23.125,-78.875,34,406.758,406.589,34,27.7798,27.7957,34,36.4554,36.4253
Open_Water,2019-06-16,23.125,-78.875,36,409.952,410.586,36,28.6481,28.822,36,36.6349,36.6203
Open_Water,2019-07-16,23.125,-78.875,19,422.599,423.021,19,29.3906,29.3912,19,36.3271,36.3333
Open_Water,2019-08-16,23.125,-78.875,69,430.637,430.71,69,30.4939,30.4914,69,36.3648,36.3684
Open_Water,2019-09-16,23.125,-78.875,44,422.894,422.694,44,29.9058,29.8919,44,36.2397,36.2373
Open_Water,2019-10-16,23.125,-78.875,82,413.648,414.46,82,29.1951,29.0514,82,36.2815,36.2968
Open_Water,2020-01-16,23.125,-78.875,26,394.942,396.145,26,26.5595,26.6043,26,36.5792,36.5782
